,artist,rank,song,year,lyrics
162,Alan Jackson,13,Good Time,2008,"

[Verse 1]
Work, work all week long
Punching that clock from dusk till dawn
Counting the days till Friday night
That's when all the conditions are right
For a good time
I need a good time

[Chorus]
I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time

[Verse 2]
I cashed my check, cleaned my truck
Put on my hat, forgot about work
Sun going down, head across town
Pick up my baby and turn it around
Good time
Ahh, I need a good time

[Chorus]
I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time

[Verse 3]
Pig in the ground, beer on ice
Just like ole Hank taught us about
Singing along, Bocephus songs
Rowdy friends, all night long
Good time
Lord, we're having a good time

[Chorus]
I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time
Whew!

[Verse 4]
Heel toe, do-si-do
Scooting our boots, swinging doors
B & D, Kix and Dunn
Honking tonk heaven, Double shotgun
Good time
Lord, we're having a good time
Cause

[Chorus]
I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time

[Verse 5]
Shot of Tequila, beer on tap
Sweet southern woman set on my lap
G with an O, O with a D
T with an I and an M and an E
And a good time
Shhheww, good time

[Chorus]
I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time

[Bridge]
Ahh, turn it up now!
A shot of Tequila
Beer on tap
A good looking woman
To set on my lap
A G with an O, an O with a D
A T with an I an M with an E
That spells good time
A good time
Ohh

[Chorus]
I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time

[Verse 6]
Twelve o'clock, two o'clock, three o'clock four
Five o'clock we know we're that's going to go
Closing the door, shutting them down
Head for that Waffle House way across town
Good time?
Ohh, we're having a good time
Ohh

[Chorus]
I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time

I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time

I've been working all week
And I'm tired and I don't want to sleep
And I want to have fun
It's time for a good time

[Outro]
Ohh, yea, a good time
I need a good time
Yea, a good time

"
163,Toby Keith,14,She's A Hottie,2008,"

[Verse ]
She's sitting by the water where the river gets wide
Think about swimming to the other side
Got a Malboro red, and a can of cold Bud
Toes squished down in the Arkansas mud

[Verse 2]
Hey Mister! Yeah, I kissed her
Son, you ought to see her sister!
You've got to give a little something to a cool dark cat
Finding him a woman who could shake like that
Hottie, she's a Hottie! Got a smokin' little body
String bikini and a barbed-wire tat (tattoo)
She's rockin' that cowboy hat
Hottie, she's a Hottie! And just a little bit naughty
Kayay digidigy, Kayay digidigy, yey Hey hey hey Hey

[Verse 3]
She's slapping down a dam
Where the moss gets thick
Yelling Yee Haw! she's a redneck chick
Spitting in the fire, putting on a show
Strutting like a chicken to the radio
Hey Slick! She's a hick!
Hmm and her butter milk lipstick
Give a little something to a cool dark cat
Finding him a woman who could shake like that

[Verse 4]
Hottie, she's a Hottie! She got a smokin' little body
String bikini and a barbed-wire tat (tattoo)
She's rockin' that cowboy hat
Hottie, she's a Hottie! And just a little bit naughty
Singing Kayay digidigy
Kayay digidigy, yey Hey hey hey Hey

[Verse 5]
Dress her up boys, I took her from the farm
I brought her downtown, I hung her on my arm
You've got to give a little somethin' to a cool dark cat
Finding him a woman who could walk like that!
She's a Hottie, she's a Hottie! She's got a smokin' little body
String bikini and a barbed-wire tat (tattoo)
She's rocking' that cowboy hat
Hottie, she's a Hottie! And just a little bit naughty
Kayay digidigy, Kayay digidigy, yey
Singing Kayay digidigy, Kayay digidigy
Yey hey Hey hey Hey

[Outro]
Singing Kayay digidigy, Kayay digidigy, Yey Hey hey Hey

"
164,Jewel,15,Stronger Woman,2008,"

[Verse 1]
I guess you could say I'm one of those girls
Who's always been with one of those guys
You know the type
Like right now, he sleeps while I write
But it's better than crying
Warn out from trying
From loving a man who always makes it clear
I am not welcome here
Just till he's horney or hungry or needs something clean
You know what I mean
But not tonight
Cause come the morning light, oh

[Chorus]
I'm gonna love myself
More than anyone else
Believe in me
Even if someone can't see
A stronger woman in me
I'm gonna be my own best friend
Stick with me till the end
Won't lose myself again
Never, no
Cause there's a stronger woman
A stronger woman in me

[Verse 2]
Light bulbs buzz, I get up
Head to my drawer
Wish there was more
I could say
Another fairy tale fades to grey
I've lived on hope
Like a child
Walking that mile
Faking that smile
All the while
Wishing my heart had wings
Well from now on I'm gonna be
The kind of woman I'd want my daughter to be, oh

[Chorus]
I'm gonna love myself
More than anyone else
Believe in me
Even if someone can't see
A stronger woman in me
I'm gonna be my own best friend
Stick with me till the end
Won't lose myself again
Never, no
Cause there's a stronger woman
A stronger woman

[Bridge]
This is me packing up my bags
This is me headed for the door
This is me, the best you ever had

[Chorus]
I'm gonna love myself
More than anyone else
Believe in me, even if someone can't see
The a stronger woman in me
Gonna be my own best friend
Stick with me till the end
Won't lose myself again, no, no
Cause there's a stronger woman, stronger woman
There's a stronger woman, stronger woman in me
Stronger woman in me

"
165,Tim McGraw,16,Kristofferson,2008,"

[Verse 1]
I just walked in and you were gone
To your Mama's I suppose
It looks like you won't be back so I thought you ought to know
I found that note you left today it only took you half a page
I'm going to grab my old guitar take a pencil from the jar and fill in the empty space

[Chorus]
I'm going to tell you how I feel, straight up genuine and real
Open a bottle of ninety proof and write a song for you like Kristofferson would do

[Verse 2]
In each line you're going to hear it's my fault and I miss you
I know it won't be in time it may not even rhyme
But it has to be is true

[Chorus]
I'm going to tell you how I feel, straight up genuine and real
Open a bottle of ninety proof and write a song for you like Kristofferson would do

[Instrumental Interlude]

[Chorus]
I'm going to tell you how I feel, straight up genuine and real
Open a bottle of ninety proof and write a song for you like Kristofferson would do

[Outro]
I'm going to drink this bottle of ninety proof and sing this song for you
Like Kristofferson would do

"
166,Josh Turner Featuring Trisha Yearwood,17,Another Try,2008,"

[Verse 1]
All the things I felt and never shared
All the times she was lonely with me there
Tears I wouldn't let fall from my eyes
And how I let her go without a fight

[Chorus]
The reasons I`m alone I know by heart
But I don`t want ti spend forever in the dark
I swear next time I`ll hang on for dear life
If love ever gives me another try

[Verse 2]
There is no changing things that we regret
The best that we can hope for is one more chance
If the hands of time could just move in reverse
I wouldn't make the same mistake again with her

The reasons I`m alone I know by heart
But I don`t want ti spend forever in the dark
I swear next time I`ll hang on for dear life
If love ever gives me another try

The reasons I`m alone I know by heart
But I don`t want ti spend forever in the dark
I swear next time I`ll hang on for dear life
If love ever gives me another try

[Outro]
Oh if love ever gives me another try

"
167,Miranda Lambert,18,Gunpowder And Lead,2008,"

[Verse 1]
County road 233 under my feet
Nothing on this white rock but little ol’ me
I've got two miles 'till he makes bail
And if I'm right, we're headed straight for hell

[Chorus]
I'm going home, gonna load my shotgun
Wait by the door and light a cigarette
If he wants a fight, well, now he's got one
And he ain't seen me crazy yet
He slapped my face and he shook me like a rag doll
Don't that sound like a real man
I'm going to show him what little girls are made of
Gunpowder and lead

[Verse 2]
Well, it's half past ten, another six-pack in
And I can feel the rumble like a cold black wind
He pulls in the drive, the gravel flies
He don't know what's waiting here this time

[Chorus]
Hey, I'm going home, gonna load my shotgun
Wait by the door and light a cigarette
If he wants a fight, well, now he's got one
And he ain't seen me crazy yet
He slapped my face and he shook me like a rag doll
Don't that sound like a real man
I'm going to show him what little girls are made of
Gunpowder and lead

[Bridge]
His fist is big, but my gun's bigger
He'll find out when I pull the trigger

[Chorus]
I'm going home, gonna load my shotgun
Wait by the door and light a cigarette
If he wants a fight, well, now he's got one
And he ain't seen me crazy yet
He slapped my face and he shook me like a rag doll
Don't that sound like a real man
I'm going to show him what little girls are made of
Gunpowder and, gunpowder and lead
Gunpowder and lead

"
168,Reba McEntire With Kenny Chesney,19,Every Other Weekend,2008,"

[Verse 1: Reba McEntire & Kenny Chesney]
Every other Friday
It's toys and clothes and backpacks
Is everybody in?
Okay, let's go see dad
Same time in the same spot
Corner of the same old parking lot
Half the hugs and kisses there are always sad
We trade a couple of words and looks and kids again
Every other weekend
Every other weekend
Very few exceptions
I pick up the love we made in both my arms
It's movies on the sofa, grilled cheese and cut the crust off
""That's not the way mom makes it, daddy,"" breaks my heart
I miss everything I use to have with her again
Every other weekend

[Chorus: Kenny Chesney, Reba McEntire, Both]
But I can't tell her I love her
I can't tell him I love him
Because there's too many questions and ears in the car
So I don't tell him I miss him
I don't tell her I need her
She's (He's) over me, that's where we are
So we're as close as we may ever be again
Every other weekend

[Verse 2; Reba McEntire & Kenny Chesney]
Every other Saturday
First thing in the morning
I turn the TV on to make the quiet go away
I know why, but I don't know why
We ever let this happen
Falling for forever was a big mistake
There's so much not to do and all day not to do with him
Every other weekend
Every other Sunday
I empty out my backseat
While my children hug their mother
In the parking lot
We don't touch
We don't talk much
Maybe goodbye to each other
As she drives away with every piece of heart I got
I re-convince myself we did the right thing
Every other weekend

[Chorus: Kenny Chesney, Reba McEntire, Both]
But I can't tell her I love her
I can't tell him I love him
Because there's too many questions and ears in the car
So I don't tell him I miss him
I don't tell her I need her
She's (He's) over me, that's where we are
So we're as close as we may ever be again
Every other weekend
Yeah for fifteen minutes we're family again
God I wish that he was still with me again
Every other weekend

"
169,Keith Anderson,20,I Still Miss You,2008,"

I've changed the presets in my truck
So those old songs don't sneak up
They still find me and remind me
Yeah you come back that easy
Try restaurants I've never been to
Order new things off the menu
That I never tried 'cause you didn't like
But two drinks in, and you're by my side

I've talked to friends
I've talked to myself
I've talked to God
I prayed liked hell but I still miss you
I tried sober I tried drinking
I've been strong and I've been weak
And I still miss you
I've done everything move on like I'm supposed to
I'd give anything for one more minute with you
I still miss you
I still miss you baby

I never knew til you were gone
How many pages you were on
It never ends I keep turning
And line after line and you are there again
I dont know how to let you go
You are so deep down in my soul
I feel helpless so hopeless
Its a door that never closes
No I don't know how to do this

I've talked to friends
I've talked to myself
I've talked to God
I prayed liked hell but I still miss you
I tried sober I tried drinking
I've been strong and I've been weak
And I still miss you
I've done everything
Move on like I'm supposed to
I'd give anything for one more minute with you
I still miss you yeah

I've talked to friends
I've talked to myself
I've talked to God
I prayed liked hell but I still miss you
I tried sober I tried drinking
I've been strong and I've been weak
And I still miss you
I've done everything
Move on like I'm supposed to
I'd give anything for one more minute with you
I still miss you yeah

I still miss you
I still miss you, yeah, yeah

"
170,Josh Gracin,21,We Weren't Crazy,2008,"

We headed out to California
Everybody tried to warn us
Said we wouldn't make it any further
Than that worn out Chevy would

We broke down a time or two
Thought ""maybe we didn't think it through""
We were all we had to turn to
When it wasn't lookin' good

We're lookin' back laughin'
'cause they called us crazy

(chorus)
We were young, we were wild, we were restless
Had to go, had to fly - had to get away
Took a chance on that feelin' - baby
We were lovin' blind - borderline reckless
We were livin' for the minute we were spinnin' in
Maybe we were a lot of things
But we weren't crazy

Just a couple kids a couple years ago
Now we gotta couple kids of our own
We turn out right - proved them wrong
Look at us goin' strong

Lookin' back laughin'
'cause they called us crazy

(repeat chorus)
Coulda set it down
When things got tough
Coulda walked away from this love
But that'd been crazy

We were young, we were wild, we were restless
Had to go, had to fly, had to get away
Took a chance on that feeling
We were lovin blind, borderline reckless
We were livin for the minute we were spinning in
Maybe we were a lot of things
Oh maybe we were a lot of things
But we werent crazy
We weren't crazy
We weren't crazy

"
171,Brooks & Dunn,22,Put A Girl In It,2008,"

[Verse 1]
You can buy you a brand new truck
Chrome it all out, jack it way up
You can build you a house up high on a hill
With a pool and a pond and a view to kill
You can make all the money in sight
But you ain't living the good life

[Chorus]
Until you put a girl in it
You ain't got nothin
What's it all worth
Without a little loving
Put a girl in it
Some huggin and some kissin
If you're world's got somethin missin
Just put a girl in it

[Verse 2]
You can buy a boat and a shiny set of skis
Have some fun in the sun, float around in the breeze
You can lay out on a blanket by the lake
Drink a cold beer, polish off another day
Kick on back and watch the sky turn red
A sunset ain't a sunset

[Chorus]

[Bridge]
You can write you a country song
The DJ won't put it on
They won't dance or sing along

[Chorus]

[Outro]
If you're ridin in your truck
Put a girl in it
If you're going to have a party
Put a girl in it
If you want to live the good life
Better put a gir-r-rl in it

"
172,Gary Allan,23,Learning How To Bend,2008,"

I'm still learning how to pray
Trying hard not to stray
Try to see things your way
I'm still learning how to pray
I'm still learning how to trust
It's so hard to open up
And I'd do anything for us
I'm still learning how to trust

I'm still learning how to bend
How to let you in
In a world full of tears
We'll conquer all our fears
I'm still learning how to fly
I wanna take you higher
I'll be there till the end
I'll be your lover and your friend
I'm still learning how to bend

I'm just trying to understand
It's all in someone else's hands
There's always been a bigger plan
But I don't need to understand

I'm still learning how to bend
I wanna take you in
In a world full of tears
We'll conquer all our fears
I'm still learning how to fly
I wanna take you higher
I'll be there till the end
I'll be your lover and your friend
I'm still learning how to bend

I'll be there till the end
I'll be your lover and your friend
I'm still learning how to bend

I'm still learning how to bend
I'll be there till the end
I'm still learning how to bend

"
173,Joe Nichols,24,It Ain't No Crime,2008,"

I was sittin' outside in the front yard
Lawn chair, kiddie pool, just soakin' up the sun
Old man walks by and said
We got this thing called ambition
Why don't you buy a suit
And go get you some

Like he ain't got enough of his own business
Now he's got to go mindin' mine
Opportunity knocks and I miss it
It ain't no crime
It ain't no crime
If I wanna kick back and kill a little time
It ain't no crime

I was gettin' some pink in my color
Next door lady says, why you always layin' 'round
Fine you man like you
Should be married with some children
Instead of all those honeys
Running in and out

Like she ain't got enough of her own business
Now she's got to go mindin' mine
I don't have a lot of kids and a Mrs
It ain't no crime, it ain't no crime
If I wanna kick back and steal a kiss some time
It ain't no crime

If everybody minded their own business
They'd be too busy to worry 'bout mine
If I live life the way I wanna live it
It ain't no crime, it ain't no crime
If I wanna kick back and chill or steal
A kiss from a girl, I will every time
It ain't no crime
It ain't no crime

"
174,Trisha Yearwood,25,This Is Me You're Talking To,2008,"

This was bound to happen
It was just a matter of time
This town is just too small for
Us to really say goodbye
You're smiling that smile that
You get when you're nervous
Like you don't quite know what to do
But this is me you're talking to
This is me you're talking to

I've heard you met somebody
It didn't take you very long
And I'll admit it isn't easy
Knowing you've moved on
But I can see how you could make any woman
Fall deep in love with you
This is me you're talking to

Me, the one who really knows you
Me, the one whose heart you've broken
Me, the one who was still hopin'
You might be missing me

We don't have to do this
We don't have to act like friends
As much as I would love to
I really just don't think I can
You don't have to tell me that you really love me
After all we have been through
'Cause this is me you're talking to

Me, the one who really knows you
Me, the one whose heart you've broken
Me, the one who was still hopin'
You might be missing me

Oh, and you don't have to say that you do
This is me you're talking to
This is me you're talking to

"
175,Jason Michael Carroll,26,I Can Sleep When I'm Dead,2008,"

I got a little game that I play
And I call it ""Try to beat the morning paper home""
I ain't very good but I get a lot of practice
Even won once a month ago
Of course there was a girl involved that wasn't gonna let me rest
But I've always said I can sleep when I'm dead

[Chorus]
If there's somethin' goin' on within a hundred miles from home
Ya gonna hear my V-8 sing
Long as I can beat the train and they got a passing lane
Baby, I ain't gonna miss a thing
Life's too fun and I'm too young and the night ain't over yet
Like I said I can sleep when I'm dead

It ain't no fun if ya ain't got money
So I always make it in to work
The trick is to leave at least a half an hour
To brush my teeth and change my shirt
Keep a closet full of Red Bull and Visine to hide the red
I don't need the rest, I can sleep when I'm dead

[Chorus]
When I get tired, I'll go to bed
All that I can say is that it hasn't happened yet

If there's somethin' goin' on within a hundred miles from home
Ya gonna hear my V-8 sing
Long as I can beat the train and they got a passing lane
Baby, I ain't gonna miss a thing
Life's too fun and I'm too young and the night ain't over yet
Like I said I can sleep when I'm dead
Like I said
Like I said
I can sleep when I'm dead

(I ain't even tired yet)

"
176,The Lost Trailers,27,Holler Back,2008,"

I got a city folk friend in a hip-hop world
He goes by E. Diddy but his name is Earl
Cocks his hat to the side in his Grandma's ride
Pumpin' nothin' but bass

He says things like, 'Dawg, are you down with that'
And, 'Don't that fly girl got some back'
And I feel so doggone outta place

When he says
'Holler back when you get back home'
I say, 'The only holler back that I know is'

(Chorus)
In that holler back in the woods
Where the country folks got it good
Homebrewed, homegrown
Where the wild seeds 'a get sown
It's a blast from the past
All the cowgirls shakin' their sassafras
Let out a howl if 'ya feel like 'ya gotta
If you wanna go on back to the holler
Holler back

Take a left off the Interstate
Go ten miles
Take a right on Farm Road 99
And just roll 'til the blacktop ends

'Ya see Mary Jo rockin' that front porch swing
Bikini top and them cut-off jeans
And that's where Hillbilly Heaven begins

Ah, she'll pour 'ya some of that cherry wine
Boy, you're guaranteed to have yourself
One hell of a time
In that holler back in the woods
Where the country folks got it good
Homebrewed, homegrown
Where the wild seeds 'a get sown
It's a blast from the past
All the cowgirls shakin' their sassafras
Let out a howl if 'ya feel like 'ya gotta
If you wanna go on back to the holler
Holler back

In that holler back in the woods
Where the country folks got it so good
Homebrewed, homegrown
Where the wild seeds 'a get sown
It's a blast from the past
All the cowgirls shakin' their sassafras
Let out a howl if 'ya feel like 'ya gotta
If you wanna go on back to the holler
Holler back

(Homebrewed, homegrown
Where the wild seeds a get sown
Its a blast from the past
All the cowgirls shakin' their sassafras
Homebrewed, homegrown
Where the wild seeds a get sown)
Ooh...)

"
177,Sugarland Featuring Little Big Town & Jake Owen,28,Life In A Northern Town,2008,"

A Salvation Army band played and the children drank lemonade
And the morning lasted all day, all day
And through an open window came like Sinatra in a younger day
Pushing the town away, away

Hey, ah, ma, ma, ma, into the night
Hey, ah, ma, ma, ma, hey, ah
Life in a northern town
Hey, ma, ma, ma, ma

They sat on the stony ground and he took a cigarette out
And everyone else came down to listen
It was the winter 1963, it felt like the world would freeze
With John F. Kennedy and the Beatles, yeah, yeah, yeah

Hey, ah, ma, ma, ma, into the night
Hey, ah, ma, ma, ma, hey, ah
Life in a northern town
Hey, ma, ma, ma, ma

Hey, ah, ma, ma, ma, into the night
Hey, ah, ma, ma, ma, hey, ah
They shut the factory down
Hey, ma, ma, ma, ma

The evening had turned to rain, watched the water roll down the drain
As they followed him down to the station
And he would never wave goodbye, you could see it written in his eyes
As the train pulled out of sight, bye, bye

Hey, ah, ma, ma, ma, into the night
Hey, ah, ma, ma, ma, hey, ah
Life in a northern town
Hey, ma ma ma, take it easy on yourself

Hey, ah, ma, ma, ma, into the night
Hey, ah, ma, ma, ma, hey, ah
Life in a northern town
Hey, ma, ma, ma, ma

Hey, ah, ma, ma, ma, into the night
Hey, ah, ma, ma, ma, hey, ah
Life in a northern town
Hey, ma, ma, ma, ma

Hey, ah, ma, ma, ma, into the night
Hey, ah, ma, ma, ma, hey, ah
Life in a northern town
Hey, ma, ma, ma, ma

"
178,Julianne Hough,29,That Song In My Head,2008,"

You were hangin' your feet off
The tailgate of Billy Don's Ford
I grew up in this little bitty town
Never seen you before
You were swayin' in the moonlight
While the radio played
And I've
I've had that song in my head all day, yeah

It was a sweet Southern soulful thing
That got me down deep
You caught me starin' at you
But you smiled back at me
Started slingin' that air guitar
Man, you sure can play
And I've had that song in my head all day

I don't know who sings it
I keep searchin' the radio
I just wanna hear it
So I can watch that video
I got in my head of a blue-eyed boy
Dancin' in the bed of a two-tone Ford
Oh Lord, is it love?
I just can't say
(But I've)
(I've had that song in my head all day)
(Playin' in my head all day)

I said, 'How 'bout an autograph for 'ya
Your biggest fan?'
You wrote your name and your number
In the palm of my hand
My heart and that big bass speaker
Were thumpin' away, and I
I've had that song in my head all day

"
179,Jimmy Wayne,30,Do You Believe Me Now,2008,"

Do you remember
The day I turned to you and said
I didn't like the way he was looking at you
Yeah
How he made you laugh
You just couldn't get what I was saying
It was my imagination

So do you believe me now?
I guess I really wasn't that crazy
And I knew what I was talking about
Every time the sun goes down
He's the one that's holding you baby
Yeah, and me, I'm missing you way across town
So do you believe me now?

I'm kicking myself
For being the one foolish enough
Giving him the chance to step in my shoes
Oooh
He was biding his time
When he saw our love was having a moment of weakness
He was there between us

So do you believe me now?
I guess I really wasn't that crazy
And I knew what I was talking about
Every time the sun goes down
He's the one that's holding you baby
Yeah, and me, I'm missing you way across town
So do you believe me now?

Oh yeah, I bet now you see the light
Oh yeah, what's the use in being right?
We're not the lonely one tonight

So do you believe me now?
I guess I really wasn't that crazy
And I knew what I was talking about
Every time the sun goes down
He's the one that's holding you baby
Yeah, and me, I'm missing you way across town
So do you believe me now?

Yeah
So do you believe me now?
Yeah
Every time the sun goes down
He's the one who's holding you baby
Yeah, and me, I'm missing you way across town
So do you believe me now?

"
180,Sara Evans,31,Some Things Never Change,2008,"

She gets up every mornin' while everyone's in bed
Starts the coffee, makes the breakfast for all those sleepy-heads
Yeah, yeah, some things never change

He comes in all dressed for work sayin', ""Baby, I love you""
Gotta go, even though it's not what he wants to do
But he does it, some things never change

In a world that keeps turnin' and movin' so fast
When you can't hold on to nothin' and nothin' seems to last
It's so good to know that love still remains
Ain't you glad that some things never change?

Three o'clock every afternoon waitin' by the door
Sees her babies are runnin' off the bus, she couldn't love 'em any more
Yeah, yeah, oh, some things never change

Like when I'm lyin' next to you, well, I remember when
Your kisses made me crazy so beautiful back then
And I still feel the same, yeah, some things never change

In a world that keeps turnin' and movin' so fast
When you can't hold on to nothin' and nothin' seems to last
It's so good to know that love still remains
Ain't you glad that some things never change?

Yeah, same as the sun keeps risin'
Yeah, every day someone is findin' love
Oh yeah

In a world that keeps turnin' and movin' so fast
When you can't hold on to nothin' and nothin' seems to last
It's so good to know that love still remains

Oh, when the world that keeps turnin' and movin' so fast
When you can't hold on to nothin' and nothin' seems to last
And it's sure good to know that love still remains
Oh, ain't you glad that some things never change? Yeah
Oh, ain't you glad that some things never change?
Ooh, oh, some things never change

"
181,Heidi Newfield,32,Johnny &amp; June,2008,
182,Phil Stacey,33,If You Didn't Love Me,2008,"

""A broken bat in the grass
Takin' one too many fastballs
Tired of swingin'

Spin the wheels, grindin' gears
Goin' nowhere in a downpour
Mud just slingin'

That's what it feels like
Climbin' uphill all the way
Like life's a wild horse
I ain't ever gonna break

If you didn't love
If you didn't love
If you didn't love me
(Then)(Well) I don't know how
I don't know how
If I could do this
If you didn't love
If you didn't love
If you didn't love me
I don't know how
I don't know how I'd get through this
If I didn't love
If I didn't love
If I didn't love
I don't know how
I don't know how
I'd get through this
If you didn't love
If you didn't love me

A mountain top, another shot
I'm born again
And put some fight back in me
Sunrise, oh yeah

That's what it feels like
Wakin' up in your arms, girl
Withoght your sweet smile
This would be a tougher world

If you didn't love
If you didn't love
If you didn't love me
(Well)(Then) I don't know how
I don't know how
I could do this
If you didn't love me
If you didn't love me
If you didn't love me

Sometimes it feels like
I'm runnin' straight into the wind
You whisper three words
And it's at my back again
Yeah, it's at my back again

Chorus

"
183,Luke Bryan,34,Country Man,2008,"

[Verse 1]
You need hands, rough not soft
To come and warm you up, up in that cold hayloft
Let me hold you little darling in my big strong arms
Can't get these kind of muscles anywhere but a farm

[Chorus]
Hey, I'm a country man
A city boy can't do the things I can
I can grow my own groceries and salt cure a ham
Hey baby, I'm a country man

[Verse 2]
I've got a jeep with camouflage seats
That way nobody sees us parked back up in these trees
Your little iPod loaded down with Hoobastank
Don't be a tape player hater girl were cruising to Hank

[Chorus]
Hey, I'm a country man
A city boy can't do the things I can
I can grow my own groceries and salt cure a ham
Hey baby, I'm a country man

[Bridge]
You like the ivy league Humvee tennis sweater type
But girl, I'm here to tell you, don't believe the hype

[Chorus]
Hey, I'm a country man
I can wrestle hogs and gators with my two bare hands
Girl, you better move quick I'm in high demand
Hey, baby, I'm a country man

[Chorus]
Hey I'm a country man
Hunting me a good ol' country girlfriend
Why don't you come and join me in my new deer stand?
Hey, baby, I'm a country man
Hey, baby, I'm a country man

"
184,LeAnn Rimes,35,Good Friend And A Glass Of Wine,2008,"

[Verse 1]
Who died and crowned me everybody's everything
I'm even busting my butt through the weekend
By the time I get home there's not an ounce of sanity
Between the dogs, my momma's calls
Is it against the law
For me to get what I need

[Chorus]
A good friend and a glass of wine
Someone to say it's gonna be alright
A good friend and a glass of wine
A little pick me up to get me through the night
We talk trash n' we laugh and cry
That kind of therapy money can't buy
Every now and then, every now and then
Every girl needs a good friend and a glass of wine

[Verse 2]
I don't need to jet off to no vacation for a week
I'd be happy to have a happy hour
When I'm tired and I'm fried it gets me right back on my feet
Any kind of red or white, a little sister time
It's every smart girls secret

[Chorus]
A good friend and a glass of wine
Someone to say it's gonna be alright
A good friend and a glass of wine
A little pick me up to get me through the night
We talk trash n' we laugh and cry
That kind of therapy money can't buy
Every now and then, every now and then
Every girl needs a good friend and a glass of wine

"
185,Crystal Shawanda,36,You Can Let Go,2008,"

Wind blowin' on my face
Sidewalk flyin' beneath my bike
A five year-old's first taste
Of what freedom's really like
He was runnin' right beside me
His hand holdin' on the seat
I took a deep breath and hollered
As I headed for the street

You can let go now, Daddy
You can let go
Oh, I think I'm ready
To do this on my own
It's still a little bit scary
But I want you to know
I'll be ok now, Daddy
You can let go

I was standin' at the altar
Between the two loves of my life
To one I've been a daughter
To one I soon would be a wife
When the preacher asked
‘Who gives this woman?'
Daddy's eyes filled up with tears
He kept holdin' tightly to my arm
‘Till I whispered in his ear

You can let go now, Daddy
You can let go
Oh, I think I'm ready
To do this on my own
It still feels a little bit scary
But I want you to know
I'll be ok now, Daddy
You can let go

It was killin' me to see
The strongest man I ever knew
Wastin' away to nothin'
In that hospital room
‘You know he's only hangin' on for you'
That's what the night nurse said
My voice and heart were breakin'
As I crawled up in his bed, and said

You can let go now, Daddy
You can let go
Your little girl is ready
To do this on my own
It's gonna be a little bit scary
But I want you to know
I'll be ok now, Daddy
You can let go
You can let go

"
186,Jason Aldean,37,Relentless,2008,"

[Verse 1]
I toss and turn, I'm losin' sleep
Can't seem to make any sense of anything
I keep wanderin' around in circles, in a daze

[Verse 2]
Just when I start awakening
I find that somethin's intoxicatin' me
'Til I'm tangled up, lost inside a maze

[Chorus 1]
I can't outrun it
Just keeps comin'
Girl, your love is
Relentless

[Verse 3]
Just like the waves against the sand
Over and over and time and time again
Your love keeps on reachin' out to me

[Chorus 1]
I can't outrun it
Just keeps comin'
Girl, your love is
Relentless

[Chorus 2]
I can't fight it
There's no hidin'
Girl, your love is
Relentless

[Bridge]
I'm starin' at a hurricane
A hundred miles of drivin' rain
I just smile and lean into the wind
'Cause I can't outrun it

[Interlude]

[Chorus 1]
I can't outrun it
Just keeps comin'
Girl, your love is
Relentless

[Chorus 2]
I can't fight it
There's no hidin'
Girl, your love is
Relentless

[Verse 1 recap]
I toss and turn, I'm losin' sleep
Can't seem to make any sense of anything
I keep wanderin' around in circles, in a daze

[Verse 2 recap]
Just when I start awakening
I find that somethin's intoxicatin' me
'Til I'm tangled up, lost inside a maze

"
187,Garth Brooks,38,Midnight Sun,2008,"

[Verse 1]
Ain't no hay left on the ground
Going to join the sun in sitting down
My last bale and well my tail is dragging
Cotton shirt, Cotton mouth
Cold ones waiting at the house
It's time for me to get down off the wagon

[Chorus]
Hose me down and dress me up
Fire up that old pickup truck
Out the gate and let them horses run
A jukebox and swinging doors
Soft and pretties on a hardwood floor
A cowboy's work just ain't never done
In the land of the midnight sun

[Bridge]
Find a looker, have her hold my keys
And tell her later we'll be needing these
Grab a cold one, turn it upside down
To that honky tonking sound

[Chorus]
Hose me down and dress me up
Fire up that old pickup truck
Out the gate and let them horses run
Because eight o' clock comes twice a day
And either way you'll find me chasing strays
A cowboy's work just ain't never done
In the land of the midnight sun

[Verse 2]
Shoot the breeze while shooting pool
Dance 'til you're sweating like a rented mule
Getting loud with all my cowboy friends
The party never ends

[Chorus ]
Hose me down and dress me up
Fire up that old pickup truck
Out the gate and let them horses run
Looky there who waits for me
Smiling sweetly, holding up my keys
A cowboy's work just ain't never done
In the land of the midnight sun

[Outro]
In the land of the midnight sun

"
